chain,draw,beta,estimate
0,380,1,0.6313177329237772
0,381,0,13.51561378618942
0,381,1,0.8808442244808663
0,382,0,13.498083677669081
0,382,1,0.9578881502047341
0,383,0,13.529192917906803
0,383,1,0.762955212912148
0,384,0,13.558230407874149
0,384,1,0.41895208069118
0,385,0,13.563496916765525
0,385,1,0.45011701690286066
0,386,0,13.551928121689818
0,386,1,0.5145964533047336
0,387,0,13.495723454570408
0,387,1,1.191332213200938
0,388,0,13.515692984058042
0,388,1,0.8456482176266302
0,389,0,13.540942364033938
0,389,1,0.6288342514350614
0,390,0,13.54876901175291
0,390,1,0.530303423175901
0,391,0,13.55630572699425
0,391,1,0.4709028287461631
0,392,0,13.543214778909746
0,392,1,0.5383463005446013
0,393,0,13.56416787813365
0,393,1,0.4252000909861511
0,394,0,13.454324791235512
0,394,1,1.5682354148375963
0,395,0,13.514840553487051
0,395,1,0.8276270802375696
0,396,0,13.528487648734005
0,396,1,0.7830801418158809
0,397,0,13.599201798297194
0,397,1,0.08050303519059812
0,398,0,13.503360611917962
0,398,1,1.1260886574538986
0,399,0,13.514966469133542
0,399,1,0.9000531991703687
0,400,0,13.56378982269904
0,400,1,0.3953882056162837
0,401,0,13.508199514131226
0,401,1,0.8583612339037552
0,402,0,13.57161372063635
0,402,1,0.3612804081234621
0,403,0,13.529365834662544
0,403,1,0.7747714758957025
0,404,0,13.538579361519895
0,404,1,0.6418297785488064
0,405,0,13.5139327219866
0,405,1,0.7912510441419626
0,406,0,13.52040118228791
0,406,1,0.7430131539103388
0,407,0,13.546190089257939
0,407,1,0.5495150734078853
0,408,0,13.512983966436426
0,408,1,0.890751406384394
0,409,0,13.540041156747893
0,409,1,0.6659643023882356
0,410,0,13.500933144395077
0,410,1,0.947050153602054
0,411,0,13.525836617501202
0,411,1,0.6349483646447206
0,412,0,13.543363821819606
0,412,1,0.6441648273224427
0,413,0,13.50031216146945
0,413,1,0.9817045806687515
0,414,0,13.565799136872336
0,414,1,0.3816607873124732
0,415,0,13.519689168078688
0,415,1,0.7978634347466858
0,416,0,13.489463422352143
0,416,1,0.901656690588367
0,417,0,13.534924039305784
0,417,1,0.767882280980225
0,418,0,13.486881612632663
0,418,1,1.2031393553386232
0,419,0,13.512856446192869
0,419,1,0.8471387312591147
0,420,0,13.490886721363873
0,420,1,1.106805090989809
0,421,0,13.49507937413005
0,421,1,1.012050682691569
0,422,0,13.526144290205123
0,422,1,0.7478350613950674
0,423,0,13.536706585889563
0,423,1,0.6644602043728304
0,424,0,13.547149097969665
0,424,1,0.4647973257578308
0,425,0,13.521774348075155
0,425,1,0.727419077453006
0,426,0,13.477482537632932
0,426,1,1.295495720625103
0,427,0,13.512979734459076
0,427,1,1.1021671125666368
0,428,0,13.541610141685993
0,428,1,0.5205202831577586
0,429,0,13.514526314875704
0,429,1,0.8437331095880988
0,430,0,13.600624209487915
0,430,1,0.07439354864677848
0,431,0,13.531835185953078
0,431,1,0.7743264080604436
0,432,0,13.519723726762471
0,432,1,0.7484357963978165
0,433,0,13.519208686550849
0,433,1,0.9097570915597284
0,434,0,13.532924550659393
0,434,1,0.7451303669215602
0,435,0,13.516913929975708
0,435,1,0.8175996353143768
0,436,0,13.546088117733955
0,436,1,0.5824792105106469
0,437,0,13.623997199344164
0,437,1,-0.13200711607764554
0,438,0,13.479085028617177
0,438,1,1.0854253482566874
0,439,0,13.484223185873878
0,439,1,1.1902445426975308
0,440,0,13.588309989197095
0,440,1,0.19965863221959465
0,441,0,13.542925513192063
0,441,1,0.529741196116584
0,442,0,13.563737899381952
0,442,1,0.4838042069538668
0,443,0,13.5299783581492
0,443,1,0.6806074596681198
0,444,0,13.562690069169772
0,444,1,0.47810535403224075
0,445,0,13.495018578197865
0,445,1,1.0801977296198155
0,446,0,13.50872841214039
0,446,1,0.9490092618502943
0,447,0,13.585960572543968
0,447,1,0.20727243636365053
0,448,0,13.525797618613469
0,448,1,0.7120198505414416
0,449,0,13.498486004162586
0,449,1,1.0345258444789327
0,450,0,13.540448217058852
0,450,1,0.6188164937076258
0,451,0,13.522617870952004
0,451,1,0.7412032475722763
0,452,0,13.545608488248263
0,452,1,0.5722084700019211
0,453,0,13.5697809171991
0,453,1,0.3614413367029691
0,454,0,13.53872310698687
0,454,1,0.5434039030901746
0,455,0,13.538274909649385
0,455,1,0.6722343705811018
0,456,0,13.504950731393068
0,456,1,1.0039293246364613
0,457,0,13.504910859259299
0,457,1,1.0169875160331534
0,458,0,13.516065942964541
0,458,1,0.8534645354764738
0,459,0,13.44780153222907
0,459,1,1.272231177840109
0,460,0,13.534076082519427
0,460,1,0.6400890390184865
0,461,0,13.505394900746719
0,461,1,1.040322551895161
0,462,0,13.525625131557696
0,462,1,0.7646633411102712
0,463,0,13.504493547819196
0,463,1,1.0731000000826345
0,464,0,13.517242514258436
0,464,1,0.9839698810017625
0,465,0,13.485946071824333
0,465,1,1.1364210978193492
0,466,0,13.483493294751634
0,466,1,1.1806283272430398
0,467,0,13.528309596523036
0,467,1,0.7569330097497347
0,468,0,13.566971997054148
0,468,1,0.44173975659320025
